step,run_type,err,lane,handle_count,pred_sig,act_sig
1,learn_on,2.000000,De,1,[],[7]
2,learn_on,0.000000,Po,2,[],[]
3,learn_on,0.000000,Po,2,[],[]
4,learn_on,2.000000,De,2,[],[7]
5,learn_on,0.000000,Po,2,[7],[7]
6,learn_on,0.000000,Po,2,[7],[7]
7,learn_on,0.000000,Po,2,[],[]
8,learn_on,0.000000,Po,2,[7],[7]
13,learn_on,2.000000,De,3,[],[5]
14,learn_on,2.000000,De,3,[],[5]
15,learn_on,0.000000,Po,3,[5],[5]
16,learn_on,0.000000,Po,3,[5],[5]
18,learn_on,0.000000,Po,3,[5],[5]
19,learn_on,2.000000,De,3,[],[5]
20,learn_on,2.000000,De,3,[],[5]
21,learn_on,2.000000,De,3,[],[5]
22,learn_on,2.000000,De,3,[],[5]
23,learn_on,2.000000,De,3,[],[5]
24,learn_on,0.000000,Po,3,[5],[5]
25,learn_on,0.000000,Po,3,[5],[5]
26,learn_on,0.000000,Po,3,[5],[5]
27,learn_on,0.000000,Po,3,[5],[5]
28,learn_on,2.000000,De,3,[],[7]
29,learn_on,2.000000,De,3,[],[7]
30,learn_on,0.000000,Po,3,[],[]
31,learn_on,0.000000,Po,3,[7],[7]
32,learn_on,0.000000,Po,3,[],[]
33,learn_on,0.000000,Po,3,[7],[7]
34,learn_on,0.000000,Po,3,[],[]
35,learn_on,0.000000,Po,3,[],[]
36,learn_on,0.000000,Po,3,[],[]
37,learn_on,0.000000,Po,3,[],[]
38,learn_on,0.000000,Po,3,[],[]
39,learn_on,2.000000,De,3,[],[5]
40,learn_on,2.000000,De,3,[],[5]
41,learn_on,2.000000,De,3,[],[5]
42,learn_on,0.000000,Po,3,[5],[5]
43,learn_on,0.000000,Po,3,[5],[5]
44,learn_on,2.000000,De,3,[],[5]
45,learn_on,2.000000,De,3,[],[5]
46,learn_on,0.000000,Po,3,[5],[5]
47,learn_on,2.000000,De,3,[],[5]
48,learn_on,2.000000,De,3,[],[5]
49,learn_on,0.000000,Po,3,[5],[5]
50,learn_on,0.000000,Po,3,[5],[5]
51,learn_on,0.000000,Po,3,[5],[5]
52,learn_on,0.000000,Po,3,[5],[5]
53,learn_on,2.000000,De,3,[],[7]
54,learn_on,2.000000,De,3,[],[7]
55,learn_on,0.000000,Po,3,[7],[7]
56,learn_on,0.000000,Po,3,[7],[7]
